S no,Movie,Rating,No. of votes,Mean,Median,Males,M Rating,Females,F Rating,<18,18-29,30-44,45+
1,Tenet,7.3,"4,76,083",7.4,8,"2,35,073",7.3,"32,997",7.1,7.8,7.6,7.2,6.8
2,Soul,8,"3,15,029",8.1,8,"1,39,120",8,"35,325",8.1,8.4,8.2,7.9,7.7
3,Wonder Woman 1984,5.4,"2,58,696",5.3,5,"1,29,020",5.3,"21,678",5.9,5.2,5.5,5.3,5.3
4,Birds of Prey,6,"2,31,720",6.1,6,"2,31,720",5.9,"23,972",6.6,6.4,6.2,6,5.8
5,The Invisible Man,7.1,"2,20,635",7.1,7,"1,14,618",7,"26,262",7.2,7.6,7.3,7,6.9
6,A Quiet Place 2,7.2,"2,14,958",7.4,7,"2,14,958",7.1,"19,425",7.3,7.6,7.3,7.1,7.1
7,Extraction,6.7,"1,95,446",6.8,7,"1,09,486",6.7,"12,226",6.6,6.8,6.7,6.6,6.7
8,The Trial of the Chicago,7.7,"1,73,224",7.8,8,"88,934",7.7,"19,392",7.9,7.6,7.8,7.7,7.7
9,Enola Holmes,6.6,"1,65,032",6.8,7,"68,450",6.4,"26,976",6.9,6.8,6.6,6.5,6.7
10,Promising Young Woman,7.5,"1,64,154",7.5,8,"76,596",7.4,"26,601",7.9,7.6,7.6,7.4,7.4
11,The Old Guard,6.6,"1,59,892",6.8,7,"87,078",6.5,"18,067",7.1,6.5,6.7,6.5,6.7
12,Bad Boys for Life,6.5,"1,57,487",6.7,7,"91,292",6.4,"12,349",6.7,6.5,6.7,6.4,6.3
13,Nomadland,7.3,"1,53,624",7.3,7,"79,133",7.3,"17,424",7.5,7.1,7.4,7.3,7.3
14,Palm Springs,7.4,"1,52,427",7.5,8,"81,300",7.4,"17,118",7.3,7.6,7.5,7.3,7.2
15,Another Round,7.7,"1,47,748",7.8,8,"78,356",7.7,"15,767",7.7,7.9,7.9,7.6,7.5
16,Mulan,5.7,"1,45,437",5.6,6,"64,597",5.6,"18,679",6.1,4.3,5.3,5.7,6.3
17,Onward,7.4,"1,44,310",7.5,8,"1,44,310",7.3,"18,110",7.6,7.3,7.4,7.3,7.2
18,The Father,8.2,"1,40,367",8.3,8,"71,287",8.2,"14,446",8.3,8.1,8.4,8.2,8.1
19,Sonic the Hedgehog,6.5,"1,34,500",6.7,7,"72,364",6.4,"9,845",6.6,6.8,6.5,6.4,6.3
20,The Devil All the Time,7.1,"1,30,200",7.2,7,"61,493",7,"15,013",7.1,7.1,7.1,7,7
21,I Care A lot,6.3,"1,29,972",6,7,"59,565",6.3,"19,374",6.5,6,6.3,6.3,6.4
22,Dil Bechara,8.1,"1,29,363",9.2,10,"42,152",8.1,"4,437",8.3,8.4,8.4,7.8,5.9
23,Love and Monsters,6.9,"1,23,744",7.1,7,"64,722",6.9,"12,572",7.1,7,7,6.9,6.9
24,Greenland,6.4,"1,13,384",6.5,7,"63,021",6.4,"10,336",6.6,7.1,6.5,6.4,6.4
25,Soorarai Pottru,8.7,"1,11,517",9.2,10,"20,604",8.2,"1,029",7.9,8.9,8.8,7.8,6.1
26,The Hunt,6.5,"1,09,632",6.6,7,"61,951",6.5,"10,770",6.6,6.4,6.4,6.5,6.7
27,Sadak 2,1.1,"94,920",1.3,1,"22,185",1.2,"1,650",1.5,1.2,1.2,1.2,1.5
28,Greyhound,7,"94,449",7.2,7,"58,096",7,"5,409",7,7,7,6.9,7
29,Hamilton,8.3,"89,726",8.2,9,"37,221",8.1,"14,177",8.9,8,8.6,8.3,7.8
30,Spenser Confidential,6.2,"86,650",6.4,6,"49,937",6.2,"7,165",6.5,6.2,6.2,6.1,6.3
31,Project Power,6,"86,473",6.1,6,"50,161",5.9,"6,884",6.3,5.7,6,5.9,6
32,News of the World,6.8,"85,196",7,7,"48,830",6.8,"7,312",7,6.9,6.8,6.7,7
33,365 Days,3.3,"84,463",4.1,3,"20,961",3.3,"15,100",3.7,2.5,3,3.3,3.5
34,I'm Thinking of Ending Things,6.6,"83,215",6.5,7,"40,839",6.6,"10,979",6.2,7.4,7,6.4,6
35,The Midnight Sky,5.6,"82,390",5.6,6,"46,782",5.6,"8,184",5.8,5.6,5.5,5.6,5.8
36,Dara of Jasenovac,8.2,"80,774",9.4,10,"22,049",7.9,"10,490",9.1,8.5,8.6,8,7.6
37,Underwater,5.8,"80,217",5.9,6,"47,129",5.8,"8,174",5.8,5.6,5.9,5.8,5.7
38,The New Mutants,5.3,"76,654",5.3,5,"41,388",5.3,"6,622",5.4,5,5.2,5.3,5.4
39,Bloodshot,5.7,"76,643",5.9,6,"47,129",5.7,"5,592",5.9,5.5,5.6,5.6,5.8
